t_ms,x,y,z
37837,0.0,0.0,0.0
37888,0.0,0.0,0.00034463530755601823
37938,0.0,0.0,0.001615904737263918
37988,0.0,0.0,0.0036000520922243595
38037,0.0,0.0,0.005834830924868584
38087,0.0,0.0,0.008413496427237988
38137,0.0,0.0,0.011739255860447884
38187,0.0,0.0,0.014824597164988518
38237,0.0,0.0,0.01808168552815914
38287,0.0,0.0,0.02161344327032566
38337,0.0,0.0,0.025261014699935913
38388,0.0,0.0,0.029167242348194122
38438,0.0,0.0,0.03405602276325226
38487,0.0,0.0,0.03841984272003174
38537,0.0,0.0,0.042890723794698715
38587,0.0,0.0,0.04763297364115715
38637,0.0,0.0,0.052403807640075684
38687,0.0,0.0,0.057438306510448456
38737,0.0,0.0,0.06253989785909653
38788,0.0,0.0,0.06898396462202072
38837,0.0,0.0,0.07449449598789215
38887,0.0,0.0,0.08020678907632828
38937,0.0,0.0,0.08596658706665039
38987,0.0,0.0,0.0919136255979538
39037,0.0,0.0,0.09795590490102768
39088,0.0,0.0,0.10547209531068802
39138,0.0,0.0,0.11182057857513428
39187,0.0,0.0,0.11840099096298218
39237,0.0,0.0,0.1249489039182663
39288,0.0,0.0,0.13171783089637756
39338,0.0,0.0,0.1399184763431549
39388,0.0,0.0,0.14693951606750488
39438,0.0,0.0,0.15398506820201874
39488,0.0,0.0,0.16118721663951874
39538,0.0,0.0,0.16845592856407166
39587,0.0,0.0,0.1758909523487091
39637,0.0,0.0,0.18490208685398102
39687,0.0,0.0,0.19261185824871063
39737,0.0,0.0,0.20026302337646484
39787,0.0,0.0,0.20811834931373596
39837,0.0,0.0,0.21596120297908783
39888,0.0,0.0,0.22562119364738464
39937,0.0,0.0,0.2337406873703003
39987,0.0,0.0,0.24198639392852783
40037,0.0,0.0,0.2502271831035614
40087,0.0,0.0,0.25859126448631287
40138,0.0,0.0,0.26698896288871765
40188,0.0,0.0,0.27725106477737427
40238,0.0,0.0,0.28583455085754395
40288,0.0,0.0,0.2946101129055023
40337,0.0,0.0,0.30329403281211853
40387,0.0,0.0,0.3121620714664459
40437,0.0,0.0,0.32099106907844543
40487,0.0,0.0,0.3300231695175171
40537,0.0,0.0,0.3408639430999756
40588,0.0,0.0,0.35002267360687256
40637,0.0,0.0,0.35915255546569824
40687,0.0,0.0,0.36838117241859436
40737,0.0,0.0,0.3776479959487915
40787,0.0,0.0,0.38893213868141174
40837,0.0,0.0,0.39833226799964905
40887,0.0,0.0,0.4079053997993469
40938,0.0,0.0,0.41736292839050293
40988,0.0,0.0,0.42698538303375244
41038,0.0,0.0,0.43851426243782043
41088,0.0,0.0,0.4482363164424896
41138,0.0,0.0,0.4579862058162689
41188,0.0,0.0,0.4678244888782501
41238,0.0,0.0,0.477630615234375
41288,0.0,0.0,0.48751911520957947
41338,0.0,0.0,0.4993990659713745
41387,0.0,0.0,0.509447455406189
41437,0.0,0.0,0.5194471478462219
41488,0.0,0.0,0.5296106934547424
41538,0.0,0.0,0.5396547913551331
41587,0.0,0.0,0.5498619079589844
41637,0.0,0.0,0.5619627833366394
41687,0.0,0.0,0.5716844201087952
41737,0.0,0.0,0.5806867480278015
41787,0.0,0.0,0.58824622631073
41837,0.0,0.0,0.5933118462562561
41887,0.0,0.0,0.5938414335250854
41937,0.0,0.0,0.5867810845375061
41987,0.0,0.0,0.5730535984039307
42037,0.0,0.0,0.5499650239944458
42087,0.0,0.0,0.5204347968101501
42138,0.0,0.0,0.4707099199295044
42188,0.0,0.0,0.3889361619949341
42238,0.0,0.0,0.25265055894851685
42288,0.0,0.0,0.08049275726079941
42339,0.0,0.0,-0.04810977727174759
42388,0.0,0.0,-0.3179977536201477
42438,0.0,0.0,-0.5116993188858032
42488,0.0,0.0,-0.6426057815551758
42538,0.0,0.0,-0.5976313352584839
42588,0.0,0.0,-0.6803723573684692
42637,0.0,0.0,-0.7722285985946655
42687,0.0,0.0,-0.8220300078392029
42738,0.0,0.0,-0.8022943139076233
42788,0.0,0.0,-0.7623704671859741
42838,0.0,0.0,-0.7401484251022339
42888,0.0,0.0,-0.8556178212165833
42938,0.0,0.0,-0.9129598140716553
42988,0.0,0.0,-0.9288610219955444
43037,0.0,0.0,-0.9572190642356873
43088,0.0,0.0,-0.9583266973495483
43137,0.0,0.0,-0.9911400675773621
43188,0.0,0.0,-1.0163203477859497
