version,run,model,chunk_kb,drain,rep,target_cam,select_rc,select_us,to_tensor_rc,to_tensor_us,total_us,start_frame,end_frame,frame_delta,grabbed_id,current_id
"SentAI v1.0 build 1544 (2026-06-24 11:07:59)","1","/yolo_1_class_512_1_upsample_512_inloc_de_1024_la_P5_32.tflite","128","2","0","0","0","5","0","11967","11972","487","487","0","0","0"
"SentAI v1.0 build 1544 (2026-06-24 11:07:59)","1","/yolo_1_class_512_1_upsample_512_inloc_de_1024_la_P5_32.tflite","128","2","1","1","0","29516","0","112952","142468","490","492","2","1","1"
"SentAI v1.0 build 1544 (2026-06-24 11:07:59)","1","/yolo_1_class_512_1_upsample_512_inloc_de_1024_la_P5_32.tflite","128","2","2","0","0","12887","0","113352","126239","492","494","2","0","0"
"SentAI v1.0 build 1544 (2026-06-24 11:07:59)","1","/yolo_1_class_512_1_upsample_512_inloc_de_1024_la_P5_32.tflite","128","2","3","1","0","7735","0","145929","153664","526","529","3","1","1"
"SentAI v1.0 build 1544 (2026-06-24 11:07:59)","1","/yolo_1_class_512_1_upsample_512_inloc_de_1024_la_P5_32.tflite","128","2","4","0","0","13877","0","113345","127222","529","531","2","0","0"
"SentAI v1.0 build 1544 (2026-06-24 11:07:59)","1","/yolo_1_class_512_1_upsample_512_inloc_de_1024_la_P5_32.tflite","128","2","5","1","0","11560","0","114342","125902","531","533","2","1","1"
"SentAI v1.0 build 1544 (2026-06-24 11:07:59)","1","/yolo_1_class_512_1_upsample_512_inloc_de_1024_la_P5_32.tflite","128","2","6","0","0","11670","0","113353","125023","533","535","2","0","0"
"SentAI v1.0 build 1544 (2026-06-24 11:07:59)","1","/yolo_1_class_512_1_upsample_512_inloc_de_1024_la_P5_32.tflite","128","2","7","1","0","22807","0","147348","170155","535","538","3","1","1"
"SentAI v1.0 build 1544 (2026-06-24 11:07:59)","1","/yolo_1_class_512_1_upsample_512_inloc_de_1024_la_P5_32.tflite","128","2","8","0","0","11498","0","113350","124848","538","540","2","0","0"
"SentAI v1.0 build 1544 (2026-06-24 11:07:59)","1","/yolo_1_class_512_1_upsample_512_inloc_de_1024_la_P5_32.tflite","128","2","9","1","0","11518","0","114350","125868","540","542","2","1","1"
"SentAI v1.0 build 1544 (2026-06-24 11:07:59)","1","/yolo_1_class_512_1_upsample_512_inloc_de_1024_la_P5_32.tflite","128","2","10","0","0","12334","0","145951","158285","573","576","3","0","0"
"SentAI v1.0 build 1544 (2026-06-24 11:07:59)","1","/yolo_1_class_512_1_upsample_512_inloc_de_1024_la_P5_32.tflite","128","2","11","1","0","12877","0","114348","127225","576","578","2","1","1"
"SentAI v1.0 build 1544 (2026-06-24 11:07:59)","1","/yolo_1_class_512_1_upsample_512_inloc_de_1024_la_P5_32.tflite","128","2","12","0","0","11536","0","113344","124880","578","580","2","0","0"
"SentAI v1.0 build 1544 (2026-06-24 11:07:59)","1","/yolo_1_class_512_1_upsample_512_inloc_de_1024_la_P5_32.tflite","128","2","13","1","0","11511","0","114339","125850","580","582","2","1","1"
"SentAI v1.0 build 1544 (2026-06-24 11:07:59)","1","/yolo_1_class_512_1_upsample_512_inloc_de_1024_la_P5_32.tflite","128","2","14","0","0","11542","0","113354","124896","582","584","2","0","0"
"SentAI v1.0 build 1544 (2026-06-24 11:07:59)","1","/yolo_1_class_512_1_upsample_512_inloc_de_1024_la_P5_32.tflite","128","2","15","1","0","11509","0","114343","125852","584","586","2","1","1"
"SentAI v1.0 build 1544 (2026-06-24 11:07:59)","1","/yolo_1_class_512_1_upsample_512_inloc_de_1024_la_P5_32.tflite","128","2","16","0","0","9239","0","144957","154196","615","618","3","0","0"
"SentAI v1.0 build 1544 (2026-06-24 11:07:59)","1","/yolo_1_class_512_1_upsample_512_inloc_de_1024_la_P5_32.tflite","128","2","17","1","0","12875","0","114348","127223","618","620","2","1","1"
"SentAI v1.0 build 1544 (2026-06-24 11:07:59)","1","/yolo_1_class_512_1_upsample_512_inloc_de_1024_la_P5_32.tflite","128","2","18","0","0","11498","0","113342","124840","620","622","2","0","0"
"SentAI v1.0 build 1544 (2026-06-24 11:07:59)","1","/yolo_1_class_512_1_upsample_512_inloc_de_1024_la_P5_32.tflite","128","2","19","1","0","12547","0","113357","125904","622","624","2","1","1"
"SentAI v1.0 build 1544 (2026-06-24 11:07:59)","1","/yolo_1_class_512_1_upsample_512_inloc_de_1024_la_P5_32.tflite","128","2","20","0","0","12542","0","112346","124888","624","626","2","0","0"
