seq,experiment,file,summary
1,e18_A_fixed_cam0,/diags/s045_e18_post_refactor/001_e18_A_fixed_cam0.csv,total=61.8ms fps=16.18
2,e18_B_fixed_cam1,/diags/s045_e18_post_refactor/002_e18_B_fixed_cam1.csv,total=62.5ms fps=16.00
3,e18_C_alt_cam0_cam1,/diags/s045_e18_post_refactor/003_e18_C_alt_cam0_cam1.csv,total=145.8ms fps=6.86
