run_index,frame_interval_ms,prep_stall_ms,infer_stall_ms,num_detections
0,34,34,15,0
1,95,0,42,0
2,64,0,41,0
3,63,0,41,0
4,65,0,41,0
5,64,0,41,0
6,65,0,41,0
7,68,0,45,0
8,62,0,41,0
9,67,0,41,0
10,63,0,41,0
11,64,0,41,0
12,68,0,44,0
13,62,0,41,0
14,65,0,41,0
15,67,0,42,0
16,64,0,41,0
17,63,0,40,0
18,67,0,44,0
19,63,0,41,0
20,63,0,41,0
21,64,0,40,0
22,65,0,41,0
23,68,0,44,0
24,63,0,41,0
25,64,0,42,0
26,63,0,41,0
27,64,0,41,0
28,64,0,41,0
29,67,0,44,0
30,61,0,41,0
31,64,0,41,0
32,67,0,41,0
33,64,0,41,0
34,66,0,44,0
35,63,0,42,0
36,64,0,41,0
37,64,0,41,0
38,64,0,41,0
39,64,0,41,0
