run_index,cam_id,elapsed_ms,jpeg_bytes
0,0,209,19899
1,1,202,23356
2,0,200,19881
3,1,202,23376
4,0,200,19903
5,1,202,23356
6,0,200,19879
7,1,202,23422
8,0,199,19873
9,1,202,23377
10,0,201,19916
11,1,201,23324
12,0,200,19894
13,1,202,23347
14,0,199,19987
15,1,202,23461
