run_index,frame_interval_ms,prep_stall_ms,infer_stall_ms,num_detections
0,155,1,38,0
1,159,0,40,0
2,171,0,38,0
3,154,0,37,0
4,159,0,41,0
5,159,1,38,0
6,158,0,38,0
7,158,0,41,0
8,154,0,38,0
9,156,0,38,0
10,160,0,40,0
11,155,1,38,0
12,155,0,38,0
13,160,0,41,0
14,155,0,38,0
15,155,0,38,0
16,159,0,41,0
17,153,0,38,0
18,156,0,38,0
19,159,0,40,0
