run_index,cam_id,select_ms,to_tensor_ms,invoke_ms,detect_ms,num_detections,total_frame_ms
0,1,0,34,28,0,0,62
1,1,0,32,39,0,0,71
2,1,0,34,33,0,0,67
3,1,0,30,30,1,0,61
4,1,0,33,28,0,0,61
5,1,0,29,29,1,0,59
6,1,0,33,28,0,0,61
7,1,0,30,28,0,0,58
8,1,0,34,27,1,0,62
9,1,0,29,31,0,0,60
10,1,0,34,28,0,0,62
11,1,0,30,27,0,0,57
12,1,0,34,28,0,0,62
13,1,0,30,28,0,0,58
14,1,0,34,28,0,0,62
15,1,0,32,28,0,0,60
16,1,0,32,27,0,0,59
17,1,0,33,28,1,0,62
18,1,0,29,37,0,0,66
19,1,0,34,34,1,0,69
20,1,0,29,32,0,0,61
21,1,0,34,28,0,0,62
22,1,0,30,30,0,0,60
23,1,0,34,28,0,0,62
24,1,0,29,29,0,0,58
25,1,0,34,28,0,0,62
26,1,0,29,38,0,0,67
27,1,0,34,35,0,0,69
28,1,0,30,30,1,0,61
29,1,0,33,28,0,0,61
30,1,0,30,30,0,0,60
31,1,0,34,27,1,0,62
32,1,0,32,27,1,0,60
33,1,0,31,28,1,0,60
34,1,0,33,36,0,0,69
35,1,0,30,33,1,0,64
36,1,0,33,31,0,0,64
37,1,0,30,30,0,0,60
38,1,0,34,28,0,0,62
39,1,0,29,29,1,0,59
