run_index,cam_id,select_ms,to_tensor_ms,invoke_ms,detect_ms,num_detections,total_frame_ms
0,0,0,34,35,0,0,69
1,1,16,96,33,0,0,145
2,0,18,96,28,0,0,142
3,1,19,95,28,1,0,143
4,0,18,96,32,0,0,146
5,1,19,95,33,1,0,148
6,0,18,96,29,0,0,143
7,1,18,96,28,1,0,143
8,0,17,97,32,0,0,146
9,1,18,96,33,1,0,148
10,0,17,97,32,0,0,146
11,1,18,96,32,0,0,146
12,0,18,96,35,0,0,149
13,1,19,95,28,0,0,142
14,0,18,97,32,1,0,148
15,1,17,96,33,1,0,147
16,0,18,96,30,1,0,145
17,1,18,95,43,1,0,157
18,0,18,96,29,0,0,143
19,1,18,96,28,1,0,143
20,0,17,97,32,0,0,146
21,1,18,95,34,1,0,148
22,0,18,97,28,0,0,143
23,1,18,96,28,1,0,143
24,0,17,96,35,0,0,148
25,1,19,96,32,0,0,147
26,0,18,96,28,0,0,142
27,1,19,95,28,1,0,143
28,0,18,96,32,0,0,146
29,1,19,95,33,1,0,148
30,0,18,96,29,0,0,143
31,1,18,95,28,1,0,142
32,0,18,96,32,1,0,147
33,1,18,95,33,1,0,147
34,0,18,96,33,0,0,147
35,1,19,95,32,0,0,146
36,0,18,97,34,0,0,149
37,1,18,95,29,0,0,142
38,0,18,97,32,1,0,148
39,1,17,96,33,1,0,147
