t=64ms listening 127.0.0.1:30233
t=99ms client connected
t=109ms client disconnected
t=480ms client connected
t=2010ms frame seq=30 dropped=29
t=3585ms frame seq=60 dropped=59
t=5186ms frame seq=90 dropped=89
t=6655ms frame seq=120 dropped=119
t=8118ms frame seq=150 dropped=149
t=9676ms frame seq=180 dropped=179
t=11147ms frame seq=210 dropped=209
t=12605ms frame seq=240 dropped=239
t=14046ms frame seq=270 dropped=269
t=15532ms frame seq=300 dropped=299
t=17075ms frame seq=330 dropped=329
t=18577ms frame seq=360 dropped=359
t=20032ms frame seq=390 dropped=389
t=21493ms frame seq=420 dropped=419
t=22947ms frame seq=450 dropped=449
t=24415ms frame seq=480 dropped=479
t=25895ms frame seq=510 dropped=509
t=27385ms frame seq=540 dropped=539
t=28983ms frame seq=570 dropped=569
t=30465ms frame seq=600 dropped=599
t=31911ms frame seq=630 dropped=629
t=33402ms frame seq=660 dropped=659
t=34904ms frame seq=690 dropped=689
t=36361ms frame seq=720 dropped=719
t=37777ms frame seq=750 dropped=749
t=39337ms frame seq=780 dropped=779
t=40789ms frame seq=810 dropped=809
t=42268ms frame seq=840 dropped=839
t=43737ms frame seq=870 dropped=869
t=45188ms frame seq=900 dropped=899
t=46666ms frame seq=930 dropped=929
t=48132ms frame seq=960 dropped=959
t=49576ms frame seq=990 dropped=989
t=51052ms frame seq=1020 dropped=1019
t=52520ms frame seq=1050 dropped=1049
t=53967ms frame seq=1080 dropped=1079
t=55462ms frame seq=1110 dropped=1109
t=56883ms frame seq=1140 dropped=1139
t=58331ms frame seq=1170 dropped=1169
t=59848ms frame seq=1200 dropped=1199
t=61275ms frame seq=1230 dropped=1229
t=62725ms frame seq=1260 dropped=1259
t=64203ms frame seq=1290 dropped=1289
t=65652ms frame seq=1320 dropped=1319
t=67110ms frame seq=1350 dropped=1349
t=68579ms frame seq=1380 dropped=1379
t=70002ms frame seq=1410 dropped=1409
t=71494ms frame seq=1440 dropped=1439
t=72953ms frame seq=1470 dropped=1469
t=74393ms frame seq=1500 dropped=1499
t=75902ms frame seq=1530 dropped=1529
t=77319ms frame seq=1560 dropped=1559
t=78809ms frame seq=1590 dropped=1589
t=80248ms frame seq=1620 dropped=1619
t=81811ms frame seq=1650 dropped=1649
t=83350ms frame seq=1680 dropped=1679
t=84779ms frame seq=1710 dropped=1709
t=86221ms frame seq=1740 dropped=1739
t=87809ms frame seq=1770 dropped=1769
t=89253ms frame seq=1800 dropped=1799
t=90837ms frame seq=1830 dropped=1829
t=92352ms frame seq=1860 dropped=1859
t=93812ms frame seq=1890 dropped=1889
t=95274ms frame seq=1920 dropped=1919
t=96810ms frame seq=1950 dropped=1949
t=98256ms frame seq=1980 dropped=1979
t=99699ms frame seq=2010 dropped=2009
t=101145ms frame seq=2040 dropped=2039
t=102564ms frame seq=2070 dropped=2069
t=104127ms frame seq=2100 dropped=2099
t=105575ms frame seq=2130 dropped=2129
t=107040ms frame seq=2160 dropped=2159
t=108480ms frame seq=2190 dropped=2189
t=109940ms frame seq=2220 dropped=2219
t=111378ms frame seq=2250 dropped=2249
t=112824ms frame seq=2280 dropped=2279
t=114252ms frame seq=2310 dropped=2309
t=115703ms frame seq=2340 dropped=2339
t=117167ms frame seq=2370 dropped=2369
t=118574ms frame seq=2400 dropped=2399
t=120031ms frame seq=2430 dropped=2429
t=121657ms frame seq=2460 dropped=2459
t=123206ms frame seq=2490 dropped=2489
t=124686ms frame seq=2520 dropped=2519
t=126174ms frame seq=2550 dropped=2549
t=127585ms frame seq=2580 dropped=2579
t=128997ms frame seq=2610 dropped=2609
t=130475ms frame seq=2640 dropped=2639
t=131944ms frame seq=2670 dropped=2669
t=133380ms frame seq=2700 dropped=2699
t=134818ms frame seq=2730 dropped=2729
t=136234ms frame seq=2760 dropped=2759
t=137684ms frame seq=2790 dropped=2789
t=139081ms frame seq=2820 dropped=2819
t=140505ms frame seq=2850 dropped=2849
t=142004ms frame seq=2880 dropped=2879
t=143550ms frame seq=2910 dropped=2909
t=145000ms frame seq=2940 dropped=2939
t=146515ms frame seq=2970 dropped=2969
t=147964ms frame seq=3000 dropped=2999
t=149466ms frame seq=3030 dropped=3029
t=150935ms frame seq=3060 dropped=3059
t=152416ms frame seq=3090 dropped=3089
t=153900ms frame seq=3120 dropped=3119
t=155399ms frame seq=3150 dropped=3149
t=156897ms frame seq=3180 dropped=3179
t=158406ms frame seq=3210 dropped=3209
t=159874ms frame seq=3240 dropped=3239
t=161425ms frame seq=3270 dropped=3269
t=162960ms frame seq=3300 dropped=3299
t=164432ms frame seq=3330 dropped=3329
t=165917ms frame seq=3360 dropped=3359
t=167416ms frame seq=3390 dropped=3389
t=168883ms frame seq=3420 dropped=3419
t=170349ms frame seq=3450 dropped=3449
t=171892ms frame seq=3480 dropped=3479
t=173353ms frame seq=3510 dropped=3509
t=174842ms frame seq=3540 dropped=3539
t=176277ms frame seq=3570 dropped=3569
t=177712ms frame seq=3600 dropped=3599
t=179172ms frame seq=3630 dropped=3629
t=180710ms frame seq=3660 dropped=3659
t=182167ms frame seq=3690 dropped=3689
t=183609ms frame seq=3720 dropped=3719
t=185075ms frame seq=3750 dropped=3749
