iter	tid	cls	conf	cx	cy	err_x	err_y	vx	vy	fvx	fvy	x1	y1	x2	y2	fseq
91	4	16	797	86	229	-64	79	200	-200	259	-247	43	159	130	299	349
92	4	16	785	90	229	-60	79	200	-200	179	-150	48	159	132	299	352
93	4	16	773	96	229	-54	79	200	-156	157	-152	54	160	138	299	354
94	4	16	742	102	229	-48	79	200	-132	51	-74	57	159	147	300	356
95	4	16	758	101	228	-49	78	200	-200	93	-23	59	159	144	298	359
96	4	16	723	103	227	-47	77	200	-168	115	-26	60	158	147	297	362
97	4	16	734	104	227	-46	77	200	-174	24	14	60	157	148	297	364
98	4	16	742	104	226	-46	76	200	-184	-54	18	60	156	149	297	367
99	4	16	742	103	226	-47	76	200	-198	-13	11	58	156	148	297	369
100	4	16	750	102	226	-48	76	200	-200	43	40	56	157	148	296	372
101	4	16	785	98	227	-52	77	200	-200	-496	456	54	158	143	297	374
102	4	16	758	98	230	-52	80	200	-200	-72	118	52	163	145	297	377
103	4	16	773	91	234	-59	84	200	-200	140	-279	45	171	137	298	380
104	4	16	773	91	234	-59	84	200	-200	99	-163	45	171	137	298	383
105	4	16	789	83	235	-67	85	200	-200	53	74	36	172	130	299	386
106	4	16	789	87	234	-63	84	200	-200	33	-40	38	169	137	300	389
107	4	16	789	85	234	-65	84	200	-200	76	-102	36	169	135	300	391
108	4	16	789	86	231	-64	81	200	-200	121	-215	38	164	135	299	394
109	4	16	797	86	229	-64	79	200	-200	148	-195	37	158	135	300	397
110	4	16	785	86	226	-64	76	200	-200	277	-292	37	152	135	300	400
111	4	16	805	86	224	-64	74	200	-200	209	-382	36	148	136	300	402
112	4	16	820	87	221	-63	71	200	-200	59	-400	37	144	138	299	405
113	4	16	789	95	220	-55	70	200	-140	375	-414	41	142	150	299	408
114	4	16	766	105	219	-45	69	200	-80	280	-304	46	139	165	299	410
115	4	16	723	106	215	-44	65	200	-166	240	-395	51	133	161	298	413
116	4	16	758	106	211	-44	61	200	-176	315	-367	53	125	159	298	416
117	4	16	750	108	207	-42	57	188	-148	258	-395	57	118	159	297	419
118	4	16	688	109	206	-41	56	200	-154	323	-362	58	115	161	298	421
119	4	16	734	110	204	-40	54	196	-150	486	-461	58	109	163	299	424
120	4	16	758	111	201	-39	51	174	-146	234	-331	59	103	164	300	427
121	4	16	820	114	196	-36	46	134	-114	424	-388	64	98	165	295	429
122	4	16	820	114	196	-36	46	184	-144	368	-442	64	98	165	295	432
123	4	16	805	125	185	-25	35	30	10	422	-431	79	88	171	282	435
124	4	16	785	129	178	-21	28	42	-44	301	-308	83	80	175	276	438
125	4	16	813	132	172	-18	22	28	-42	255	-308	87	74	178	270	440
126	4	16	789	137	165	-13	15	-10	-2	313	-361	91	67	183	263	443
127	4	16	840	141	161	-9	11	4	4	307	-414	94	66	188	256	446
128	4	16	840	143	156	-7	6	-26	-8	333	-360	95	62	191	251	448
129	4	16	820	146	151	-4	1	-46	14	305	-351	97	59	196	244	451
130	4	16	844	149	146	-1	-4	-66	26	365	-332	99	53	199	239	454
131	4	16	844	152	143	2	-7	-58	38	450	-398	102	49	202	238	456
132	4	16	820	156	139	6	-11	-84	64	479	-461	106	45	207	233	459
133	4	16	789	160	134	10	-16	-114	80	409	-410	110	39	211	229	462
134	4	16	766	166	131	16	-19	-106	124	337	-395	117	32	215	231	464
135	4	16	789	169	128	19	-22	-118	106	219	-246	122	27	216	230	467
136	4	16	785	176	113	26	-37	-200	174	1096	-1277	129	13	224	213	470
137	2	16	785	200	97	50	-53	-200	200	60	-182	143	4	257	190	473
138	2	16	789	200	93	50	-57	-200	200	-172	74	145	1	255	185	475
139	2	16	813	198	91	48	-59	-200	172	164	-207	145	0	251	183	478
140	2	16	773	196	89	46	-61	-200	164	341	-330	147	0	246	178	480
141	2	16	785	197	87	47	-63	-200	198	294	-244	150	0	245	175	483
142	2	16	773	198	87	48	-63	-200	200	149	-99	151	0	245	175	486
143	2	16	766	198	88	48	-62	-200	192	-68	51	152	1	245	175	489
144	2	16	785	200	87	50	-63	-200	200	228	33	154	0	247	175	491
145	2	16	805	201	88	51	-62	-200	200	162	31	154	0	248	176	494
146	2	16	805	202	88	52	-62	-200	200	75	54	154	0	251	176	496
147	2	16	805	203	88	53	-62	-200	200	98	113	154	0	253	177	499
148	2	16	797	204	88	54	-62	-200	200	229	86	154	0	254	177	502
149	2	16	813	205	89	55	-61	-200	200	-22	132	153	-1	257	179	504
150	2	16	813	206	90	56	-60	-200	200	24	98	153	0	259	180	507
151	2	16	840	205	91	55	-59	-200	200	122	106	153	0	258	182	510
152	2	16	828	206	92	56	-58	-200	200	-46	129	153	0	260	185	512
153	2	16	820	207	93	57	-57	-200	200	83	102	152	0	262	187	515
154	2	16	820	207	93	57	-57	-200	200	42	83	152	0	262	187	518
155	2	16	828	207	96	57	-54	-186	200	47	116	152	1	263	192	520
156	2	16	840	206	97	56	-53	-200	200	57	126	152	1	261	193	523
157	2	16	832	206	99	56	-51	-184	200	28	104	152	2	261	196	526
158	2	16	828	206	101	56	-49	-176	200	-4	104	152	3	260	199	528
159	2	16	840	204	104	54	-46	-154	196	-88	113	152	6	257	202	531
160	2	16	852	204	106	54	-44	-156	200	-29	109	153	9	256	203	533
161	2	16	844	204	108	54	-42	-148	200	41	87	153	11	255	205	536
162	2	16	840	203	110	53	-40	-140	200	-14	88	153	13	254	207	539
163	2	16	852	203	111	53	-39	-146	200	-76	82	153	14	254	209	541
164	2	16	855	203	112	53	-38	-142	200	-26	68	152	16	254	208	544
165	2	16	852	202	114	52	-36	-124	198	-79	100	151	19	254	209	547
166	2	16	832	203	114	53	-36	-144	200	-25	59	151	19	255	209	549
167	2	16	852	202	115	52	-35	-130	198	-141	87	152	20	253	210	552
168	2	16	840	201	115	51	-35	-140	194	-55	61	151	21	251	210	554
169	2	16	855	201	115	51	-35	-140	200	194	45	152	20	250	211	557
170	2	16	840	201	118	51	-32	-98	200	50	80	152	23	250	213	559
171	2	16	852	200	118	50	-32	-128	190	-142	97	152	23	248	214	562
172	2	16	852	198	120	48	-30	-100	172	-48	46	150	23	246	218	565
173	2	16	844	197	119	47	-31	-134	178	-48	49	150	21	245	218	567
174	2	16	828	197	121	47	-29	-96	188	-81	64	149	23	245	220	570
175	2	16	805	196	121	46	-29	-116	174	-137	87	149	23	244	220	573
176	2	16	789	195	123	45	-27	-88	170	-135	73	149	25	242	221	576
177	2	16	773	194	121	44	-29	-136	166	-84	45	148	21	241	222	579
178	2	16	773	194	120	44	-30	-130	176	-6	48	148	21	240	220	581
179	2	16	813	194	121	44	-29	-106	176	385	-169	148	21	241	222	584
180	2	16	832	196	119	46	-31	-144	200	-182	54	150	16	242	222	586
181	2	16	773	195	121	45	-29	-96	170	-297	127	149	19	242	224	589
182	2	16	773	194	121	44	-29	-116	166	-151	94	148	20	241	223	591
183	2	16	785	194	123	44	-27	-88	176	-46	54	149	22	240	224	594
184	2	16	750	194	124	44	-26	-94	176	-74	55	148	25	240	223	597
185	2	16	758	194	124	44	-26	-104	176	-171	88	148	24	241	224	599
186	2	16	734	194	122	44	-28	-132	176	-108	80	146	23	242	221	602
