iter	tid	cls	conf	cx	cy	err_x	err_y	vx	vy	fvx	fvy	x1	y1	x2	y2	fseq
91	4	16	813	105	224	-45	74	200	-170	72	-79	68	159	143	290	345
92	4	16	805	106	225	-44	75	200	-166	100	-134	71	162	141	289	347
93	4	16	797	106	223	-44	73	200	-176	96	-104	73	161	139	285	350
94	4	16	773	106	222	-44	72	200	-176	-72	-56	75	162	138	282	353
95	4	16	785	106	220	-44	70	200	-176	-52	-38	75	162	138	278	355
96	4	16	723	106	218	-44	68	200	-176	51	-13	75	161	138	276	358
97	4	16	773	107	217	-43	67	200	-162	62	8	76	161	139	274	361
98	4	16	715	107	217	-43	67	200	-172	-71	15	76	160	139	274	364
99	4	16	715	107	216	-43	66	200	-172	26	28	75	160	139	273	367
100	4	16	750	106	216	-44	66	200	-186	-46	34	74	158	139	275	369
101	4	16	707	107	216	-43	66	200	-162	30	38	74	157	140	276	372
102	4	16	789	107	219	-43	69	200	-172	-52	56	73	158	141	280	375
103	4	16	734	108	221	-42	71	200	-158	-81	53	73	159	143	284	378
104	4	16	820	107	223	-43	73	200	-182	-127	82	72	161	142	286	380
105	4	16	828	107	226	-43	76	200	-172	-160	67	71	163	143	289	383
106	4	16	828	107	228	-43	78	200	-172	20	45	70	163	144	293	386
107	4	16	797	106	229	-44	79	200	-186	-57	33	69	164	144	294	389
108	4	16	797	105	229	-45	79	200	-190	-31	29	67	164	143	295	392
109	4	16	766	104	230	-46	80	200	-194	-58	35	66	165	143	296	395
110	4	16	750	107	232	-43	82	200	-142	-26	16	65	166	149	298	397
111	4	16	758	107	232	-43	82	200	-172	-4	7	63	167	152	298	400
112	4	16	758	106	233	-44	83	200	-186	141	-10	63	168	150	299	402
113	4	16	773	105	232	-45	82	200	-190	23	-18	63	167	147	297	405
114	4	16	820	105	230	-45	80	200	-180	58	-36	65	165	145	295	408
115	4	16	797	106	230	-44	80	200	-166	-41	-17	67	165	146	295	410
116	4	16	785	106	228	-44	78	200	-176	184	-46	69	164	144	293	413
117	4	16	820	106	227	-44	77	200	-176	-78	-31	70	163	143	291	416
118	4	16	797	107	225	-43	75	200	-162	34	-48	72	162	143	289	418
119	4	16	773	108	224	-42	74	200	-158	59	-60	73	161	144	288	421
120	4	16	789	108	222	-42	72	200	-168	73	-42	73	161	143	284	424
121	4	16	789	108	221	-42	71	200	-168	99	-38	74	160	143	282	427
122	4	16	742	111	220	-39	70	200	-126	30	-25	76	161	146	280	430
