t_ms,frame_seq,dx,dy,body_fw,body_left,pos_fw,pos_left,confidence
6147,221,0,0,0,0,22,6,248
6196,222,1,0,-1,0,21,6,248
6238,223,1,0,-1,0,20,6,248
6278,224,1,0,-1,0,19,6,248
6318,225,1,0,-1,0,18,6,248
6358,226,0,0,0,0,18,6,248
6398,227,0,0,0,0,18,6,248
6438,228,1,0,-1,0,17,6,248
6478,229,0,0,0,0,17,6,248
6518,230,0,0,0,0,17,6,248
6558,231,-1,-1,1,-1,18,5,244
6598,232,1,0,-1,0,17,5,244
6643,233,1,0,-1,0,16,5,248
6687,234,0,-1,0,-1,16,4,248
6734,235,1,-1,-1,-1,15,3,248
6782,236,0,0,0,0,15,3,248
6823,237,1,0,-1,0,14,3,248
6863,238,0,0,0,0,14,3,248
6907,239,-1,0,1,0,15,3,244
6953,240,0,0,0,0,15,3,244
7005,241,0,0,0,0,15,3,244
7055,242,0,-1,0,-1,15,2,244
7103,243,0,0,0,0,15,2,248
7147,244,1,-1,-1,-1,14,1,248
7190,245,0,-1,0,-1,14,0,244
7238,246,1,0,-1,0,13,0,244
7284,247,-1,0,1,0,14,0,248
7324,248,0,0,0,0,14,0,248
7365,249,0,0,0,0,14,0,244
7409,250,-1,-1,1,-1,15,-1,244
7456,251,0,0,0,0,15,-1,244
7503,252,0,0,0,0,15,-1,244
7546,253,0,0,0,0,15,-1,248
7591,254,0,0,0,0,15,-1,248
7638,255,-1,0,1,0,16,-1,248
7683,256,-1,0,1,0,17,-1,248
7723,257,0,0,0,0,17,-1,248
7763,258,0,0,0,0,17,-1,244
7803,259,-1,0,1,0,18,-1,244
7843,260,0,0,0,0,18,-1,244
7883,261,0,0,0,0,18,-1,248
7923,262,0,0,0,0,18,-1,248
7963,263,0,0,0,0,18,-1,244
8003,264,0,0,0,0,18,-1,244
8046,265,0,0,0,0,18,-1,244
8090,266,0,0,0,0,18,-1,244
8137,267,0,0,0,0,18,-1,244
8186,268,1,0,-1,0,17,-1,248
8230,269,-1,0,1,0,18,-1,244
8272,270,0,0,0,0,18,-1,244
8321,271,0,0,0,0,18,-1,244
8364,272,1,0,-1,0,17,-1,248
8404,273,-1,0,1,0,18,-1,244
8444,274,0,0,0,0,18,-1,244
8484,275,1,0,-1,0,17,-1,248
8524,276,0,0,0,0,17,-1,244
8564,277,0,0,0,0,17,-1,248
8604,278,1,0,-1,0,16,-1,248
8644,279,0,0,0,0,16,-1,244
8684,280,0,0,0,0,16,-1,244
8724,281,1,0,-1,0,15,-1,248
8764,282,0,0,0,0,15,-1,244
8804,283,0,1,0,1,15,0,244
8844,284,0,0,0,0,15,0,248
8884,285,-1,0,1,0,16,0,248
8924,286,1,0,-1,0,15,0,248
8964,287,0,0,0,0,15,0,248
9004,288,0,0,0,0,15,0,244
9049,289,1,0,-1,0,14,0,248
9092,290,0,0,0,0,14,0,248
9141,291,1,0,-1,0,13,0,248
9182,292,1,0,-1,0,12,0,244
9227,293,0,0,0,0,12,0,244
9269,294,-1,0,1,0,13,0,244
9312,295,0,0,0,0,13,0,244
9360,296,0,0,0,0,13,0,240
9405,297,0,0,0,0,13,0,244
9445,298,0,0,0,0,13,0,248
9485,299,0,0,0,0,13,0,244
9541,300,0,0,0,0,13,0,240
9561,301,-1,0,1,0,14,0,244
9606,302,0,0,0,0,14,0,248
9647,303,0,0,0,0,14,0,244
9688,304,0,0,0,0,14,0,244
9732,305,0,0,0,0,14,0,244
9778,306,0,0,0,0,14,0,248
9830,307,0,0,0,0,14,0,248
9874,308,0,0,0,0,14,0,248
9921,309,0,0,0,0,14,0,244
9969,310,0,0,0,0,14,0,244
10010,311,1,1,-1,1,13,1,244
10054,312,0,0,0,0,13,1,244
10103,313,-1,1,1,1,14,2,244
10144,314,0,0,0,0,14,2,244
10189,315,-1,0,1,0,15,2,244
10229,316,0,0,0,0,15,2,244
10271,317,0,0,0,0,15,2,244
10314,318,0,0,0,0,15,2,244
10361,319,0,0,0,0,15,2,244
10409,320,-1,0,1,0,16,2,244
10449,321,1,0,-1,0,15,2,244
10493,322,0,0,0,0,15,2,248
