# sentai.sim journal opened path=/home/bogdan/work/coralmicro/build-sim/sentai_fs_root/mission_s185_journal.txt truncate=1 t_ms=327916015
327916015 markers_init {'rc': 0, 'backend': 'whycon'}
327916015 markers_extrinsics_set {'rpy': (0.0, 1.570796, 3.141593), 't': (-0.04, 0.0, -0.02)}
327916015 marker_world_registered {'rc': 0, 'n': 6}
327916017 crazy_init {'rc': 0}
327916017 crazy_arm {}
327917002 pose_subscribe {'rc': 0, 'period_ms': 50, 'tries': 1}
327917510 takeoff {'rc': 0, 'h': 0.78}
327924590 takeoff_settled {}
327924591 crazy_hl_stop {'rc': 0}
327924748 hover_pin_ready {'alt': 0.78}
327924748 phase_A_start {'ticks': 30}
327926935 tick {'k': 20, 'yaw_cmd': 0.0, 'cf2': (0.000197087, -0.0004457511, 0.7972007, -0.0004900948), 'n': 4, 'phase': 'A_pre', 'pose': (0.1652818, -0.003681034, 0.5596038, -0.001258056, 0.0008386954, 4, 1, 1, 0)}
327927048 tick {'k': 21, 'yaw_cmd': 0.0, 'cf2': (0.0001849716, -0.0004581119, 0.7965776, -0.0004900922), 'n': 4, 'phase': 'A_pre', 'pose': (0.006077878, -0.004021691, 0.5591881, -0.001143631, 0.001046208, 4, 0, 0, 0)}
327927155 tick {'k': 22, 'yaw_cmd': 0.0, 'cf2': (0.0001804107, -0.0004614972, 0.7964127, -0.0004900825), 'n': 4, 'phase': 'A_pre', 'pose': (0.006800652, 0.0005994176, 0.5587134, -0.00111513, 0.0002992963, 4, 0, 0, 0)}
327927263 tick {'k': 23, 'yaw_cmd': 0.0, 'cf2': (0.0001564895, -0.0004814996, 0.7956676, -0.0004899282), 'n': 4, 'phase': 'A_pre', 'pose': (0.008203126, 0.0009357928, 0.5578591, -0.0008159101, 0.0006219735, 4, 0, 0, 0)}
327927376 tick {'k': 24, 'yaw_cmd': 0.0, 'cf2': (0.0001449467, -0.0004976025, 0.7952137, 0.0001241308), 'n': 4, 'phase': 'A_pre', 'pose': (0.006817892, 0.0001265377, 0.557991, -0.0005164337, 0.0007678587, 4, 0, 1, 1)}
327927492 tick {'k': 25, 'yaw_cmd': 0.0, 'cf2': (0.0001380299, -0.000517069, 0.7947489, 0.0004992375), 'n': 4, 'phase': 'A_pre', 'pose': (0.007669978, -8.582889e-05, 0.5572308, -0.0003956199, 0.0002854844, 4, 0, 1, 1)}
327927602 tick {'k': 26, 'yaw_cmd': 0.0, 'cf2': (0.0001369173, -0.0005249781, 0.7945574, 0.0004992375), 'n': 4, 'phase': 'A_pre', 'pose': (0.008921362, 0.00118428, 0.5571463, -0.0006798349, 0.0001033995, 4, 0, 1, 1)}
327927711 tick {'k': 27, 'yaw_cmd': 0.0, 'cf2': (0.0001387228, -0.0005412509, 0.7940692, 0.0004992377), 'n': 4, 'phase': 'A_pre', 'pose': (0.01212415, 0.0008828159, 0.005, -0.001041636, 0.0004422049, 4, 0, 1, 0)}
327927819 tick {'k': 28, 'yaw_cmd': 0.0, 'cf2': (0.0001447262, -0.0005479294, 0.793683, 0.0004994708), 'n': 4, 'phase': 'A_pre', 'pose': (0.02536168, 0.003001804, 0.005, 0.0002909828, 0.0006603258, 4, 0, 1, 0)}
327927926 tick {'k': 29, 'yaw_cmd': 0.0, 'cf2': (0.0001518979, -0.0005468226, 0.7933039, 0.0004995756), 'n': 4, 'phase': 'A_pre', 'pose': (0.01238452, 0.003824936, 0.5560686, 0.0002674815, 0.001001297, 4, 0, 1, 1)}
327928028 phase_A_done {'ticks': 30}
327928028 phase_B_start {'ticks': 360, 'yaw_rate_rad_s': 0.1745}
327928037 tick {'k': 30, 'yaw_cmd': 0.1745, 'cf2': (0.0001581132, -0.0005396729, 0.7929009, 0.0004996236), 'n': 4, 'phase': 'B_sweep', 'pose': (0.1678837, 0.0004434837, 0.5565293, -0.0005017075, 0.001803285, 4, 1, 0, 1)}
327928149 tick {'k': 31, 'yaw_cmd': 0.1745, 'cf2': (0.000161592, -0.0005300288, 0.7925203, 0.0004996237), 'n': 4, 'phase': 'B_sweep', 'pose': (0.006089747, -0.0002204921, 0.5566699, -0.0008683847, 0.001274548, 4, 0, 1, 1)}
327928258 tick {'k': 32, 'yaw_cmd': 0.1745, 'cf2': (0.0001629463, -0.000522089, 0.7921812, 0.0004996804), 'n': 4, 'phase': 'B_sweep', 'pose': (0.00849963, 0.001029743, 0.5564772, -0.001164638, 0.0005469449, 4, 0, 1, 1)}
327928368 tick {'k': 33, 'yaw_cmd': 0.1745, 'cf2': (0.0001642021, -0.0005184597, 0.7920068, -0.0003876333), 'n': 4, 'phase': 'B_sweep', 'pose': (0.1735421, 0.000868158, 0.5555844, 0.0002828087, 0.001333231, 4, 1, 1, 0)}
327928476 tick {'k': 34, 'yaw_cmd': 0.1745, 'cf2': (0.0001688579, -0.0005135208, 0.7917065, -0.009025961), 'n': 4, 'phase': 'B_sweep', 'pose': (0.01328911, 0.00422323, 0.005, 0.0001795644, 0.0003985558, 4, 0, 1, 0)}
327928584 tick {'k': 35, 'yaw_cmd': 0.1745, 'cf2': (0.0001790384, -0.0005088035, 0.7913706, -0.02320117), 'n': 4, 'phase': 'B_sweep', 'pose': (0.1713451, 0.0007617455, 0.5551343, -0.0003416225, 0.00032098, 4, 1, 1, 0)}
327928697 tick {'k': 36, 'yaw_cmd': 0.1745, 'cf2': (0.0001948573, -0.0005020579, 0.791042, -0.03895397), 'n': 4, 'phase': 'B_sweep', 'pose': (0.0141238, -0.002799258, 0.5550446, -0.001758934, 0.0005302351, 4, 0, 1, 1)}
327928804 tick {'k': 37, 'yaw_cmd': 0.1745, 'cf2': (0.000204675, -0.0004977179, 0.7908853, -0.04849924), 'n': 4, 'phase': 'B_sweep', 'pose': (0.01332729, -0.01359215, 0.005, -0.0015117, 0.0003040816, 4, 0, 1, 0)}
327928912 tick {'k': 38, 'yaw_cmd': 0.1745, 'cf2': (0.0002232481, -0.0004883468, 0.790605, -0.06340028), 'n': 4, 'phase': 'B_sweep', 'pose': (0.01404684, 0.00598953, 0.5551357, -0.001204157, 0.000514428, 4, 0, 0, 0)}
327929020 tick {'k': 39, 'yaw_cmd': 0.1745, 'cf2': (0.0002427351, -0.0004752182, 0.7902861, -0.07988935), 'n': 4, 'phase': 'B_sweep', 'pose': (0.1727287, 0.003812838, 0.5558796, -0.001618344, 0.0004599028, 4, 1, 0, 1)}
327929129 tick {'k': 40, 'yaw_cmd': 0.1745, 'cf2': (0.0002568063, -0.0004620687, 0.7899954, -0.09783368), 'n': 4, 'phase': 'B_sweep', 'pose': (0.01159141, -0.0004080132, 0.005, -0.002209311, 0.0003890293, 4, 0, 1, 0)}
327929238 tick {'k': 41, 'yaw_cmd': 0.1745, 'cf2': (0.0002685222, -0.0004486107, 0.7896962, -0.114084), 'n': 4, 'phase': 'B_sweep', 'pose': (0.01080898, -0.0006270346, 0.005, -0.002550721, 0.0004257765, 4, 0, 1, 0)}
327929343 tick {'k': 42, 'yaw_cmd': 0.1745, 'cf2': (0.0002781369, -0.0004389132, 0.7894398, -0.1292969), 'n': 4, 'phase': 'B_sweep', 'pose': (0.007264599, 0.001111043, 0.005, -0.002819304, 0.0003823301, 4, 0, 1, 0)}
327929460 tick {'k': 43, 'yaw_cmd': 0.1745, 'cf2': (0.0002827713, -0.000435739, 0.789321, -0.134668), 'n': 4, 'phase': 'B_sweep', 'pose': (0.01239636, 0.0007059786, 0.5560031, -0.002888714, 0.000518504, 4, 0, 1, 1)}
327929569 tick {'k': 44, 'yaw_cmd': 0.1745, 'cf2': (0.0002953228, -0.0004319936, 0.789037, -0.1516717), 'n': 4, 'phase': 'B_sweep', 'pose': (0.01262372, 0.004145381, 0.5559111, -0.002382089, 0.0004414402, 4, 0, 1, 1)}
327929679 tick {'k': 45, 'yaw_cmd': 0.1745, 'cf2': (0.0003094231, -0.0004341102, 0.7887913, -0.1656946), 'n': 4, 'phase': 'B_sweep', 'pose': (0.17317, 0.004521315, 0.5554404, -0.002543307, 0.0004602237, 4, 1, 0, 1)}
327929788 tick {'k': 46, 'yaw_cmd': 0.1745, 'cf2': (0.000325904, -0.0004387196, 0.7885562, -0.1822195), 'n': 4, 'phase': 'B_sweep', 'pose': (0.01348912, 0.001635733, 0.5544688, -0.00317262, 0.000945012, 4, 0, 0, 0)}
327929897 tick {'k': 47, 'yaw_cmd': 0.1745, 'cf2': (0.0003454652, -0.0004418623, 0.7883308, -0.1952513), 'n': 4, 'phase': 'B_sweep', 'pose': (0.01199313, 0.002071072, 0.554851, -0.003729314, 0.0007102563, 4, 0, 0, 0)}
327930005 tick {'k': 48, 'yaw_cmd': 0.1745, 'cf2': (0.0003570572, -0.0004417773, 0.7882123, -0.2017209), 'n': 4, 'phase': 'B_sweep', 'pose': (0.174473, -0.002132628, 0.5546866, -0.004159194, 0.0005554292, 4, 1, 0, 1)}
327930115 tick {'k': 49, 'yaw_cmd': 0.1745, 'cf2': (0.0003788492, -0.0004379017, 0.7879967, -0.2144161), 'n': 4, 'phase': 'B_sweep', 'pose': (0.01343036, 0.0004073456, 0.5548892, -0.004170632, 0.0007722699, 4, 0, 0, 0)}
327930225 tick {'k': 50, 'yaw_cmd': 0.1745, 'cf2': (0.0003972516, -0.0004294965, 0.7877816, -0.2300573), 'n': 4, 'phase': 'B_sweep', 'pose': (0.1738238, 0.003228852, 0.5552714, -0.00400469, 0.0002524886, 4, 1, 0, 1)}
327930333 tick {'k': 51, 'yaw_cmd': 0.1745, 'cf2': (0.0004101665, -0.0004199306, 0.7875833, -0.2434903), 'n': 4, 'phase': 'B_sweep', 'pose': (0.01015253, 0.003251098, 0.556253, -0.004074372, 0.00195558, 4, 0, 1, 1)}
327930440 tick {'k': 52, 'yaw_cmd': 0.1745, 'cf2': (0.0004187946, -0.0004120081, 0.7873919, -0.2575789), 'n': 4, 'phase': 'B_sweep', 'pose': (0.01661548, 0.003543636, 0.005, -0.004322251, 0.0002754581, 4, 0, 1, 0)}
327930549 tick {'k': 53, 'yaw_cmd': 0.1745, 'cf2': (0.0004252367, -0.000405482, 0.7871811, -0.2744727), 'n': 4, 'phase': 'B_sweep', 'pose': (0.011443, 0.007550309, 0.5563519, -0.004526686, 0.0004627114, 4, 0, 0, 0)}
327930657 tick {'k': 54, 'yaw_cmd': 0.1745, 'cf2': (0.0004269633, -0.0004040133, 0.7870948, -0.2812883), 'n': 4, 'phase': 'B_sweep', 'pose': (0.01300412, 0.00287577, 0.5567825, -0.005464547, 0.001126725, 4, 0, 0, 0)}
327930767 tick {'k': 55, 'yaw_cmd': 0.1745, 'cf2': (0.0004288903, -0.0004034382, 0.7869956, -0.2880129), 'n': 4, 'phase': 'B_sweep', 'pose': (0.0176801, -0.005383995, 0.005, -0.005703978, 0.0004114787, 4, 0, 0, 0)}
327930875 tick {'k': 56, 'yaw_cmd': 0.1745, 'cf2': (0.0004339616, -0.0004054758, 0.7868047, -0.3035687), 'n': 4, 'phase': 'B_sweep', 'pose': (0.09919357, 0.002710239, 0.005, -0.005784261, 0.0003611653, 4, 0, 0, 0)}
327930987 tick {'k': 57, 'yaw_cmd': 0.1745, 'cf2': (0.0004443327, -0.0004093887, 0.7865627, -0.3239394), 'n': 4, 'phase': 'B_sweep', 'pose': (0.1735666, 0.003730879, 0.5569017, -0.005803931, 0.0005895548, 4, 1, 0, 1)}
327931099 tick {'k': 58, 'yaw_cmd': 0.1745, 'cf2': (0.0004582211, -0.0004109784, 0.7863607, -0.3417811), 'n': 4, 'phase': 'B_sweep', 'pose': (0.01700312, -0.0001254622, 0.5563213, -0.006557489, 0.0009321046, 4, 0, 0, 0)}
327931206 tick {'k': 59, 'yaw_cmd': 0.1745, 'cf2': (0.0004737204, -0.0004100424, 0.7862018, -0.3538661), 'n': 4, 'phase': 'B_sweep', 'pose': (0.006632507, 6.757304e-05, 0.005, -0.006647015, 0.0002609445, 4, 0, 0, 0)}
327931312 tick {'k': 60, 'yaw_cmd': 0.1745, 'cf2': (0.0004803606, -0.0004087935, 0.7861344, -0.3611712), 'n': 4, 'phase': 'B_sweep', 'pose': (0.016862, 0.003972783, 0.5572871, -0.006916671, 0.0001499321, 4, 0, 0, 0)}
327931423 tick {'k': 61, 'yaw_cmd': 0.1745, 'cf2': (0.0004947463, -0.0004032641, 0.7859612, -0.3783572), 'n': 4, 'phase': 'B_sweep', 'pose': (0.01827538, 0.003749111, 0.5571339, -0.006756216, 0.0005722528, 4, 0, 0, 0)}
327931534 tick {'k': 62, 'yaw_cmd': 0.1745, 'cf2': (0.0005026051, -0.0003960117, 0.7857916, -0.3950409), 'n': 4, 'phase': 'B_sweep', 'pose': (0.01842254, 0.004474495, 0.5576721, -0.006644039, 0.001652843, 4, 0, 0, 0)}
327931644 tick {'k': 63, 'yaw_cmd': 0.1745, 'cf2': (0.0005051059, -0.000389903, 0.7856509, -0.4084152), 'n': 4, 'phase': 'B_sweep', 'pose': (0.01805717, 0.005730543, 0.5582777, -0.006574427, 0.001318692, 4, 0, 0, 0)}
327931753 tick {'k': 64, 'yaw_cmd': 0.1745, 'cf2': (0.0005060241, -0.0003847755, 0.7854944, -0.4223632), 'n': 4, 'phase': 'B_sweep', 'pose': (0.01566564, 0.005036327, 0.5593703, -0.007326853, 0.000826549, 4, 0, 0, 0)}
327931862 tick {'k': 65, 'yaw_cmd': 0.1745, 'cf2': (0.000506917, -0.0003835946, 0.785447, -0.4268798), 'n': 4, 'phase': 'B_sweep', 'pose': (0.1779834, 0.004086182, 0.5589971, -0.007315379, 0.0003035741, 4, 1, 0, 1)}
327931971 tick {'k': 66, 'yaw_cmd': 0.1745, 'cf2': (0.0005128905, -0.0003811411, 0.7852983, -0.4436443), 'n': 4, 'phase': 'B_sweep', 'pose': (0.01797453, 0.00372643, 0.5591113, -0.007581034, 0.0001829782, 4, 0, 0, 0)}
327932082 tick {'k': 67, 'yaw_cmd': 0.1745, 'cf2': (0.0005195951, -0.000380415, 0.7851831, -0.4546307), 'n': 4, 'phase': 'B_sweep', 'pose': (0.01994599, 0.002865665, 0.005, -0.007746928, 0.0003812553, 4, 0, 0, 0)}
327932192 tick {'k': 68, 'yaw_cmd': 0.1745, 'cf2': (0.000528343, -0.0003808887, 0.7850451, -0.4704142), 'n': 4, 'phase': 'B_sweep', 'pose': (0.067515, 0.002893571, 0.005, -0.007928544, 0.0004598095, 4, 0, 0, 0)}
327932299 tick {'k': 69, 'yaw_cmd': 0.1745, 'cf2': (0.0005369079, -0.0003816874, 0.7849174, -0.4844261), 'n': 4, 'phase': 'B_sweep', 'pose': (0.0214458, 0.002484362, 0.5597954, -0.009252061, 0.0003542302, 4, 0, 0, 0)}
327932409 tick {'k': 70, 'yaw_cmd': 0.1745, 'cf2': (0.0005459853, -0.0003806779, 0.7847887, -0.501339), 'n': 4, 'phase': 'B_sweep', 'pose': (0.01902604, 0.002703381, 0.005, -0.008687005, 0.0004829358, 4, 0, 0, 0)}
327932518 tick {'k': 71, 'yaw_cmd': 0.1745, 'cf2': (0.0005506203, -0.0003797195, 0.7847186, -0.5088841), 'n': 4, 'phase': 'B_sweep', 'pose': (0.1796414, 0.004480554, 0.5607915, -0.008689926, 0.000689973, 4, 1, 0, 1)}
327932630 tick {'k': 72, 'yaw_cmd': 0.1745, 'cf2': (0.0005603635, -0.0003796917, 0.784556, -0.5286162), 'n': 4, 'phase': 'B_sweep', 'pose': (0.1332153, 0.003721025, 0.005, -0.009201605, 0.0002814177, 4, 0, 0, 0)}
327932743 tick {'k': 73, 'yaw_cmd': 0.1745, 'cf2': (0.000563025, -0.0003811747, 0.7845033, -0.5347198), 'n': 4, 'phase': 'B_sweep', 'pose': (0.02183179, 0.1220612, 0.005, -0.009748218, 0.0004914534, 4, 0, 0, 0)}
327932851 tick {'k': 74, 'yaw_cmd': 0.1745, 'cf2': (0.0005670908, -0.0003874578, 0.7844013, -0.5489351), 'n': 4, 'phase': 'B_sweep', 'pose': (0.02123462, 0.005324824, 0.5622013, -0.009297179, 0.0002316945, 4, 0, 0, 0)}
327932973 tick {'k': 75, 'yaw_cmd': 0.1745, 'cf2': (0.0005694571, -0.0003934701, 0.7843414, -0.5573931), 'n': 4, 'phase': 'B_sweep', 'pose': (0.02363183, 0.001002978, 0.005, -0.01004399, 0.0002771982, 4, 0, 0, 0)}
327933085 tick {'k': 76, 'yaw_cmd': 0.1745, 'cf2': (0.0005809332, -0.0004171207, 0.784183, -0.5810168), 'n': 4, 'phase': 'B_sweep', 'pose': (0.1784568, 0.00527342, 0.5633857, -0.01015131, 0.0003099065, 4, 1, 0, 1)}
327933192 tick {'k': 77, 'yaw_cmd': 0.1745, 'cf2': (0.0005937466, -0.000434451, 0.7840856, -0.5980452), 'n': 4, 'phase': 'B_sweep', 'pose': (0.1835674, 0.005860301, 0.5628229, -0.01062716, 0.0004304677, 4, 1, 0, 1)}
327933299 tick {'k': 78, 'yaw_cmd': 0.1745, 'cf2': (0.0006012059, -0.0004428239, 0.7840396, -0.6050697), 'n': 4, 'phase': 'B_sweep', 'pose': (0.02181278, 0.007481685, 0.5634656, -0.0104508, 0.001077754, 4, 0, 0, 0)}
327933410 tick {'k': 79, 'yaw_cmd': 0.1745, 'cf2': (0.0006217462, -0.0004635116, 0.7839205, -0.6254655), 'n': 4, 'phase': 'B_sweep', 'pose': (0.02498641, 0.004011778, 0.5640741, -0.0106588, 0.0007499321, 4, 0, 0, 0)}
327933518 tick {'k': 80, 'yaw_cmd': 0.1745, 'cf2': (0.0006378384, -0.0004786824, 0.7838203, -0.6428068), 'n': 4, 'phase': 'B_sweep', 'pose': (0.02181587, 0.005043306, 0.5649705, -0.01110008, 0.0005434253, 4, 0, 0, 0)}
327933625 tick {'k': 81, 'yaw_cmd': 0.1745, 'cf2': (0.0006527477, -0.0004922266, 0.7837089, -0.6558612), 'n': 4, 'phase': 'B_sweep', 'pose': (0.02140489, 0.003967317, 0.566187, -0.01140896, 0.0008750601, 4, 0, 0, 0)}
327933733 tick {'k': 82, 'yaw_cmd': 0.1745, 'cf2': (0.0006604725, -0.0005016521, 0.7836195, -0.6680569), 'n': 4, 'phase': 'B_sweep', 'pose': (0.02544805, 0.002802515, 0.5653916, -0.01176525, 0.0003394531, 4, 0, 0, 0)}
327933841 tick {'k': 83, 'yaw_cmd': 0.1745, 'cf2': (0.000662815, -0.00050778, 0.7835635, -0.6767006), 'n': 4, 'phase': 'B_sweep', 'pose': (0.013178, 0.003634248, 0.005, -0.0120922, 0.0003041422, 4, 0, 0, 0)}
327933948 tick {'k': 84, 'yaw_cmd': 0.1745, 'cf2': (0.0006618059, -0.0005220296, 0.7834622, -0.6915779), 'n': 4, 'phase': 'B_sweep', 'pose': (0.02787697, 0.006249266, 0.005, -0.01177521, 0.0002855414, 4, 0, 0, 0)}
327934055 tick {'k': 85, 'yaw_cmd': 0.1745, 'cf2': (0.0006561345, -0.0005387825, 0.7833838, -0.7043341), 'n': 4, 'phase': 'B_sweep', 'pose': (0.1835892, 0.005576198, 0.567611, -0.01239372, 0.0008019448, 4, 1, 0, 1)}
327934162 tick {'k': 86, 'yaw_cmd': 0.1745, 'cf2': (0.000652152, -0.0005508761, 0.7833359, -0.714954), 'n': 4, 'phase': 'B_sweep', 'pose': (0.1827214, 0.007002444, 0.5680215, -0.01246634, 0.0004473703, 4, 1, 0, 1)}
327934268 tick {'k': 87, 'yaw_cmd': 0.1745, 'cf2': (0.0006451421, -0.0005852816, 0.7832222, -0.7336885), 'n': 4, 'phase': 'B_sweep', 'pose': (0.02667475, 0.00410635, 0.005, -0.01251236, 0.0003581017, 4, 0, 0, 0)}
327934379 tick {'k': 88, 'yaw_cmd': 0.1745, 'cf2': (0.0006438741, -0.0006002583, 0.7831745, -0.7434991), 'n': 4, 'phase': 'B_sweep', 'pose': (0.02603547, 0.006172052, 0.005, -0.0126475, 0.0001802286, 4, 0, 0, 0)}
327934486 tick {'k': 89, 'yaw_cmd': 0.1745, 'cf2': (0.0006453392, -0.0006240474, 0.7830948, -0.7591787), 'n': 4, 'phase': 'B_sweep', 'pose': (0.02455717, 0.003281323, 0.5703768, -0.01356701, 0.0007921961, 4, 0, 0, 0)}
327934597 tick {'k': 90, 'yaw_cmd': 0.1745, 'cf2': (0.0006505039, -0.0006463963, 0.7830146, -0.7741488), 'n': 4, 'phase': 'B_sweep', 'pose': (0.02669028, -0.05921463, 0.005, -0.01275467, 0.0004541051, 4, 0, 0, 0)}
327934705 tick {'k': 91, 'yaw_cmd': 0.1745, 'cf2': (0.0006567256, -0.0006686065, 0.7829271, -0.7875763), 'n': 4, 'phase': 'B_sweep', 'pose': (0.0283253, 0.007418351, 0.5704374, -0.01340918, 0.0001980282, 4, 0, 0, 0)}
327934816 tick {'k': 92, 'yaw_cmd': 0.1745, 'cf2': (0.0006595571, -0.000684256, 0.7828558, -0.8009759), 'n': 4, 'phase': 'B_sweep', 'pose': (0.1884527, 0.009275682, 0.5714198, -0.01317321, 0.0005987633, 4, 1, 0, 1)}
327934923 tick {'k': 93, 'yaw_cmd': 0.1745, 'cf2': (0.000659478, -0.0006986584, 0.7827795, -0.8151556), 'n': 4, 'phase': 'B_sweep', 'pose': (0.02885482, 0.006927714, 0.005, -0.01361001, 0.0003957001, 4, 0, 0, 0)}
327935030 tick {'k': 94, 'yaw_cmd': 0.1745, 'cf2': (0.0006564328, -0.0007090539, 0.7827293, -0.8283392), 'n': 5, 'phase': 'B_sweep', 'pose': (0.02691728, 0.006852415, 0.5732494, -0.01427745, 0.0007637323, 5, 0, 0, 0)}
