492609353 acq_tick {'lock_streak': 0, 't_s': 6.27, 'n_raw': 0, 'k': 190, 'n_full': 0, 'centroid_px': None, 'thrust': 33135, 'radius_mean_px': 0.0, 'z_cam_mean_m': 0.0}
492609771 acq_tick {'lock_streak': 0, 't_s': 6.6, 'n_raw': 0, 'k': 200, 'n_full': 0, 'centroid_px': None, 'thrust': 33300, 'radius_mean_px': 0.0, 'z_cam_mean_m': 0.0}
492610215 acq_tick {'lock_streak': 0, 't_s': 6.93, 'n_raw': 0, 'k': 210, 'n_full': 0, 'centroid_px': None, 'thrust': 33465, 'radius_mean_px': 0.0, 'z_cam_mean_m': 0.0}
492610654 acq_tick {'lock_streak': 0, 't_s': 7.26, 'n_raw': 0, 'k': 220, 'n_full': 0, 'centroid_px': None, 'thrust': 33630, 'radius_mean_px': 0.0, 'z_cam_mean_m': 0.0}
492611100 acq_tick {'lock_streak': 0, 't_s': 7.59, 'n_raw': 0, 'k': 230, 'n_full': 0, 'centroid_px': None, 'thrust': 33795, 'radius_mean_px': 0.0, 'z_cam_mean_m': 0.0}
492611533 acq_tick {'lock_streak': 0, 't_s': 7.92, 'n_raw': 0, 'k': 240, 'n_full': 0, 'centroid_px': None, 'thrust': 33960, 'radius_mean_px': 0.0, 'z_cam_mean_m': 0.0}
492611947 acq_tick {'lock_streak': 0, 't_s': 8.25, 'n_raw': 0, 'k': 250, 'n_full': 0, 'centroid_px': None, 'thrust': 34000, 'radius_mean_px': 0.0, 'z_cam_mean_m': 0.0}
492612371 acq_tick {'lock_streak': 0, 't_s': 8.58, 'n_raw': 0, 'k': 260, 'n_full': 0, 'centroid_px': None, 'thrust': 34000, 'radius_mean_px': 0.0, 'z_cam_mean_m': 0.0}
492612789 acq_tick {'lock_streak': 0, 't_s': 8.91, 'n_raw': 0, 'k': 270, 'n_full': 0, 'centroid_px': None, 'thrust': 34000, 'radius_mean_px': 0.0, 'z_cam_mean_m': 0.0}
492613209 acq_tick {'lock_streak': 0, 't_s': 9.24, 'n_raw': 0, 'k': 280, 'n_full': 0, 'centroid_px': None, 'thrust': 34000, 'radius_mean_px': 0.0, 'z_cam_mean_m': 0.0}
492613632 acq_tick {'lock_streak': 0, 't_s': 9.57, 'n_raw': 0, 'k': 290, 'n_full': 0, 'centroid_px': None, 'thrust': 34000, 'radius_mean_px': 0.0, 'z_cam_mean_m': 0.0}
492614041 acq_tick {'lock_streak': 0, 't_s': 9.9, 'n_raw': 0, 'k': 300, 'n_full': 0, 'centroid_px': None, 'thrust': 34000, 'radius_mean_px': 0.0, 'z_cam_mean_m': 0.0}
492614476 acq_tick {'lock_streak': 0, 't_s': 10.23, 'n_raw': 0, 'k': 310, 'n_full': 0, 'centroid_px': None, 'thrust': 34000, 'radius_mean_px': 0.0, 'z_cam_mean_m': 0.0}
492614908 acq_tick {'lock_streak': 0, 't_s': 10.56, 'n_raw': 0, 'k': 320, 'n_full': 0, 'centroid_px': None, 'thrust': 34000, 'radius_mean_px': 0.0, 'z_cam_mean_m': 0.0}
492615338 acq_tick {'lock_streak': 0, 't_s': 10.89, 'n_raw': 0, 'k': 330, 'n_full': 0, 'centroid_px': None, 'thrust': 34000, 'radius_mean_px': 0.0, 'z_cam_mean_m': 0.0}
492615759 acq_tick {'lock_streak': 0, 't_s': 11.22, 'n_raw': 0, 'k': 340, 'n_full': 0, 'centroid_px': None, 'thrust': 34000, 'radius_mean_px': 0.0, 'z_cam_mean_m': 0.0}
492616177 acq_tick {'lock_streak': 0, 't_s': 11.55, 'n_raw': 0, 'k': 350, 'n_full': 0, 'centroid_px': None, 'thrust': 34000, 'radius_mean_px': 0.0, 'z_cam_mean_m': 0.0}
492616599 acq_tick {'lock_streak': 0, 't_s': 11.88, 'n_raw': 0, 'k': 360, 'n_full': 0, 'centroid_px': None, 'thrust': 34000, 'radius_mean_px': 0.0, 'z_cam_mean_m': 0.0}
492617031 acq_tick {'lock_streak': 0, 't_s': 12.21, 'n_raw': 0, 'k': 370, 'n_full': 0, 'centroid_px': None, 'thrust': 34000, 'radius_mean_px': 0.0, 'z_cam_mean_m': 0.0}
492617459 acq_tick {'lock_streak': 0, 't_s': 12.54, 'n_raw': 0, 'k': 380, 'n_full': 0, 'centroid_px': None, 'thrust': 34000, 'radius_mean_px': 0.0, 'z_cam_mean_m': 0.0}
492617891 acq_tick {'lock_streak': 0, 't_s': 12.87, 'n_raw': 0, 'k': 390, 'n_full': 0, 'centroid_px': None, 'thrust': 34000, 'radius_mean_px': 0.0, 'z_cam_mean_m': 0.0}
492618318 acq_tick {'lock_streak': 0, 't_s': 13.2, 'n_raw': 0, 'k': 400, 'n_full': 0, 'centroid_px': None, 'thrust': 34000, 'radius_mean_px': 0.0, 'z_cam_mean_m': 0.0}
492618746 acq_tick {'lock_streak': 0, 't_s': 13.53, 'n_raw': 0, 'k': 410, 'n_full': 0, 'centroid_px': None, 'thrust': 34000, 'radius_mean_px': 0.0, 'z_cam_mean_m': 0.0}
492619176 acq_tick {'lock_streak': 0, 't_s': 13.86, 'n_raw': 0, 'k': 420, 'n_full': 0, 'centroid_px': None, 'thrust': 34000, 'radius_mean_px': 0.0, 'z_cam_mean_m': 0.0}
492619342 phase_thrust_only_marker_acquisition {'lock_tick': None, 'n_full_max': 0, 'required_full_markers': 7, 'locked': False, 'lock_consec_required': 10, 'radius_max_px': 0.0, 'z_cam_min_m': 0.0, 'first_seen_tick': None, 'last_thrust': 34000, 'lock_brake_thrust': 30500, 'z_cam_max_m': 0.0, 'z_cam_last_m': 0.0}
492619342 phase_manual_descend_disarm {'start_thrust': 34000}
492621509 phase_manual_descend_disarm {'disarmed': True, 'done': True}
492621509 mission_done {'phase': 'post_acquisition', 'status': 'MARKER_ACQ_TIMEOUT'}
# closed t_ms=492621510 lines=75 errors=0
