run_index,cam_id,elapsed_ms,jpeg_bytes
0,0,256,28295
1,1,266,25349
2,0,200,21886
3,1,268,24923
4,0,201,25457
5,1,268,25534
6,0,200,21892
7,1,268,26198
8,0,202,25688
9,1,267,25627
10,0,200,22318
11,1,268,25108
12,0,203,26153
13,1,266,25837
14,0,200,22006
15,1,268,25657
