run_index,cam_id,select_ms,to_tensor_ms,invoke_ms,detect_ms,num_detections,total_frame_ms
0,0,0,35,32,0,0,67
1,0,0,32,32,1,0,65
2,0,0,33,30,1,0,64
3,0,0,29,30,0,0,59
4,0,0,34,33,0,0,67
5,0,0,29,28,0,0,57
6,0,0,34,31,1,0,66
7,0,0,29,31,0,0,60
8,0,0,34,33,1,0,68
9,0,0,29,32,0,0,61
10,0,0,34,28,0,0,62
11,0,0,30,29,1,0,60
12,0,0,33,35,0,0,68
13,0,0,32,32,1,0,65
14,0,0,31,33,0,0,64
15,0,0,34,29,0,0,63
16,0,0,29,30,1,0,60
17,0,0,33,28,0,0,61
18,0,0,30,29,0,0,59
19,0,0,34,27,1,0,62
20,0,0,29,31,0,0,60
21,0,0,34,31,0,0,65
22,0,0,29,32,1,0,62
23,0,0,33,33,1,0,67
24,0,0,29,33,0,0,62
25,0,0,33,29,0,0,62
26,0,0,30,29,1,0,60
27,0,0,33,28,0,0,61
28,0,0,32,35,0,0,67
29,0,0,32,31,0,0,63
30,0,0,34,33,0,0,67
31,0,0,29,31,1,0,61
32,0,0,33,28,0,0,61
33,0,0,30,29,0,0,59
34,0,0,33,28,0,0,61
35,0,0,30,29,0,0,59
36,0,0,34,33,0,0,67
37,0,0,30,30,1,0,61
38,0,0,33,33,1,0,67
39,0,0,29,33,1,0,63
