run_index,frame_interval_ms,prep_stall_ms,infer_stall_ms,num_detections
0,156,1,38,0
1,159,0,41,0
2,156,1,38,0
3,156,1,38,0
4,160,0,40,0
5,154,0,38,0
6,157,0,37,0
7,159,0,40,0
8,154,1,38,0
9,161,0,38,0
10,159,0,41,0
11,155,0,37,1
12,157,0,38,0
13,158,0,41,0
14,155,0,37,0
15,163,0,38,0
16,158,0,40,0
17,155,0,37,0
18,156,0,38,0
19,158,0,40,0
